file_name|file_path|file_size|file_owner|group_owner|parent_dir_owner|parent_dir_group_owner
RUN_CODE.sh|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/RUN_CODE.sh|85|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
list.h|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/src/list.h|315|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
main.c|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/src/main.c|1560|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
traverse_dirs.c|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/src/traverse_dirs.c|3811|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
traverse_dirs.h|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/src/traverse_dirs.h|364|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
list.c|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/src/list.c|1243|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
Makefile|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/build/Makefile|556|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
LICENSE|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/LICENSE|18|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
file_info.txt|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/output/file_info.txt|1066|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
directory_tree.txt|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/output/directory_tree.txt|0|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
main|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/bin/main|78816|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
.gitignore|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/.gitignore|11|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
exclusion.txt|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/params/exclusion.txt|0|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
README.md|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/README.md|0|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
list.o|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/obj/list.o|3072|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
traverse_dirs.o|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/obj/traverse_dirs.o|5576|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
main.o|/home/ivanbliminse/Documents/SAS_SERVER_SCRIPTS/SHARE_CLEANUP_JOB/obj/main.o|3392|ivanbliminse|ivanbliminse|ivanbliminse|ivanbliminse
